Date,City,PM2.5,Source,Generated_Alert
9/5/2021,Lahore,151.97,Mixed Sources,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 152 µg/m³) likely caused by Mixed Sources. Children, the elderly, and respiratory patients are highly vulnerable. Please use air purifiers if available and minimize outdoor exertion."
9/6/2021,Lahore,184.12,Mixed Sources,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 184 µg/m³) likely caused by Mixed Sources. Children, the elderly, and respiratory patients are highly vulnerable. Please use air purifiers if available and minimize outdoor exertion."
9/13/2021,Lahore,167.19,Crop Burning,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 167 µg/m³) likely caused by Crop Burning. Children, the elderly, and respiratory patients are highly vulnerable. Please limit outdoor activities and keep windows closed."
9/15/2021,Lahore,180.73,Vehicular Emissions,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 181 µg/m³) likely caused by Vehicular Emissions. Children, the elderly, and respiratory patients are highly vulnerable. Please use air purifiers if available and minimize outdoor exertion."
9/16/2021,Lahore,312.05,Crop Burning,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 312 µg/m³) likely caused by Crop Burning. Children, the elderly, and respiratory patients are highly vulnerable. Please limit outdoor activities and keep windows closed."
9/27/2021,Lahore,268.25,Crop Burning,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 268 µg/m³) likely caused by Crop Burning. Children, the elderly, and respiratory patients are highly vulnerable. Please limit outdoor activities and keep windows closed."
10/5/2021,Lahore,260.88,Crop Burning,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 261 µg/m³) likely caused by Crop Burning. Children, the elderly, and respiratory patients are highly vulnerable. Please limit outdoor activities and keep windows closed."
10/6/2021,Lahore,635.66,Vehicular Emissions,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 636 µg/m³) likely caused by Vehicular Emissions. Children, the elderly, and respiratory patients are highly vulnerable. Please use air purifiers if available and minimize outdoor exertion."
10/15/2021,Lahore,479.56,Crop Burning,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 480 µg/m³) likely caused by Crop Burning. Children, the elderly, and respiratory patients are highly vulnerable. Please limit outdoor activities and keep windows closed."
10/20/2021,Lahore,734.02,Crop Burning,"⚠️ Alert for Lahore: We have detected a sudden pollution spike (PM2.5: 734 µg/m³) likely caused by Crop Burning. Children, the elderly, and respiratory patients are highly vulnerable. Please limit outdoor activities and keep windows closed."
